"","TDATE","PNAME","PCODE","TCODE","REGION_CODE","REGION_NAME","ZSP_CODE","P_VC_UNREG_AVG","P_NC_UNREG_AVG"
"1",2016-11-01,"ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB1","95","Республика Хакасия","FZSBOE01",948.82,463184.33
"2",2016-11-01,"ООО ""Абаканэнергосбыт""","ABAKANSB","PABAKSB2","95","Республика Хакасия","FZSBOE01",941.59,461731.77
"3",2016-11-01,"ООО ""Алексинэнергосбыт""","ALEKSNSB","PALEKSB1","70","Тульская область","FZZNOE24",1240.65,486030.68
"4",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN1","01","Алтайский край","FZSBBB06",994.69,570547.07
"5",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN2","01","Алтайский край","FZSBBB06",1010.16,539894.73
"6",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN3","01","Алтайский край","FZSBBB06",974.89,565622.07
"7",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN4","01","Алтайский край","FZSBBB06",1114.22,564103.11
"8",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN5","01","Алтайский край","FZSBBB06",991.75,563110.77
"9",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN6","01","Алтайский край","FZSBBB06",943.13,560790.2
"10",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN7","01","Алтайский край","FZSBBB06",1059.62,569114.24
"11",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN8","01","Алтайский край","FZSBBB06",940.14,564299.49
"12",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKREN9","01","Алтайский край","FZSBBB06",1056.67,566583.24
"13",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE10","01","Алтайский край","FZSBBB06",1098.69,564096.3
"14",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE11","01","Алтайский край","FZSBBB06",1065.91,565146.07
"15",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE12","01","Алтайский край","FZSBBB06",1011.68,564448.62
"16",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE13","01","Алтайский край","FZSBBB06",968.57,570175.91
"17",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE14","01","Алтайский край","FZSBBB06",1034.88,563920.82
"18",2016-11-01,"АО ""Алтайкрайэнерго""","ALTAIKEN","PALKRE15","01","Алтайский край","FZSBBB06",978.51,563525.31
"19",2016-11-01,"АО ""Алтайэнергосбыт""","ALTAENSB","PALTENER","01","Алтайский край","FZSBOE01",988.65,567838.04
"20",2016-11-01,"АО ""Алтайэнергосбыт""","ALTAENSB","PALTRESP","84","Республика Алтай","FZSBBB06",1057.92,537916.2
"21",2016-11-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK1","47","Мурманская область","FZSZKO28",850.21,445875.49
"22",2016-11-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK2","47","Мурманская область","FZSZKO28",922.69,446012.25
"23",2016-11-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK3","47","Мурманская область","FZSZKO28",930.93,445476.83
"24",2016-11-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK4","47","Мурманская область","FZSZKO28",940.55,447104.2
"25",2016-11-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK5","47","Мурманская область","FZSZKO28",924.63,446293.89
"26",2016-11-01,"ООО ""Арктик-энерго""","ARCTIKEN","PARKTIK6","47","Мурманская область","FZSZKO28",930.63,442576.44
"27",2016-11-01,"ПАО ""Астраханская энергосбытовая компания""","ASTRHENE","PASTRHEN","12","Астраханская область","FZYUAS18",1215.69,479482.1
"28",2016-11-01,"ЗАО ""БЭЛС"" (г.Балашиха)","BALASHEL","PBALEST1","46","Московская область","FZZMSK26",1217.34,439771.32
"29",2016-11-01,"АО ""Барнаульская горэлектросеть""","BARNGORS","PBARELS1","01","Алтайский край","FZSBBB06",984.86,568106.05
"30",2016-11-01,"ООО ""ЭСКБ""","BASHKESK","PBASHENE","80","Республика Башкортостан","FZUROE07",1167.41,458083.93
"31",2016-11-01,"ОАО ""Белгородэнергосбыт""","BELGOREN","PBELGORE","14","Белгородская область","FZZNOE24",1156.94,444907.43
"32",2016-11-01,"МУП ""БЭСО"" Борисоглебского городского округа Воронежской области","MPBORISO","PBORESB1","20","Воронежская область","FZZNOE24",1307.64,446754.95
"33",2016-11-01,"ООО ""ТЭК-Энерго""","TEKENERG","PBRYANEN","15","Брянская область","FZZNOE24",1131.25,440434.94
"34",2016-11-01,"ОАО ""Будённовскэнергосбыт""","BUDELSET","PBUDGORS","07","Ставропольский край","FZYUOE16",1706.49,549176.02
"35",2016-11-01,"АО ""Читаэнергосбыт""","CHITAENE","PBURYATE","81","Республика Бурятия","FZSBOE01",648.06,694582
"36",2016-11-01,"ПАО ""Челябэнергосбыт""","CHELENER","PCHELENE","75","Челябинская область","FZUROE07",1108.8,457024.3
"37",2016-11-01,"АО ""Читаэнергосбыт""","CHITAENE","PCHITAEN","76200","Забайкальский край","FZSBOE01",572.63,656634.09
"38",2016-11-01,"АО ""Чувашская энергосбытовая компания""","CHUVENER","PCHUVENE","97","Чувашская Республика-Чувашия","FZURKR12",1323.53,483761.18
"39",2016-11-01,"ПАО ""Дагестанская энергосбытовая компания""","DAGESBYT","PDAGENER","82","Республика Дагестан","FZYUDA23",760.11,360879.09
"40",2016-11-01,"АО ""ЕЭнС"" (г.Екатеринбург)","EKATSBKO","PEKELSK1","65","Свердловская область","FZUROE07",1079.13,459682.26
"41",2016-11-01,"ОАО ""Электросеть"" (г.Мытищи)","ELSETMYT","PELSETMT","46","Московская область","FZZMSK26",1205.02,440348.44
"42",2016-11-01,"ООО ""Энергокомфорт"". Карелия""","EKOMFORT","PENKOMF1","86","Республика Карелия","FZSZOE27",1056.89,447116.76
"43",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","PESVMF01","41","Ленинградская область","FZSZOE27",1032.65,498477.35
"44",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","PESVMF02","41","Ленинградская область","FZSZOE27",1036.44,465898.98
"45",2016-11-01,"АО ""ГОРЭЛЕКТРОСЕТЬ"" (г.Кисловодск)","GORELKIS","PGELESKS","07","Ставропольский край","FZYUOE16",1707.05,548677.36
"46",2016-11-01,"АО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV1","07","Ставропольский край","FZYUOE16",1637.68,544581.62
"47",2016-11-01,"АО ""Горэлектросеть"" г.Невинномысск","NEVNGORS","PGELSNV2","07","Ставропольский край","FZYUOE16",1581.37,547972.76
"48",2016-11-01,"МП ""ГЭС"" (г.Ханты-Мансийск)","HANTGORS","PGORESHM","71","Тюменская область","FZURTU08",978.49,444455.36
"49",2016-11-01,"ОАО ""Хакасэнергосбыт""","HAKASENE","PHAKASEN","95","Республика Хакасия","FZSBOE01",934.71,463717.09
"50",2016-11-01,"ПАО ""МРСК Северного Кавказа""","MRSKSKAV","PINGUSHE","26","Республика Ингушетия","FZYUOE16",782.75,310663.28
"51",2016-11-01,"ООО ""Иркутскэнергосбыт""","IRKUTSBT","PIRKUTEN","25","Иркутская область","FZSBOE01",967,465267.98
"52",2016-11-01,"МУП ""Ивантеевские Электросети""","IVELSETI","PIVANTES","46","Московская область","FZZMSK26",1219.26,439254.93
"53",2016-11-01,"ООО ""ЭСК Гарант""","ESKGARAN","PIVENERG","24","Ивановская область","FZZNOE24",1195.15,467393.14
"54",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK1","24","Ивановская область","FZZNOE24",1248.54,468707.13
"55",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK2","24","Ивановская область","FZZNOE24",1233.64,465424.42
"56",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK3","24","Ивановская область","FZZNOE24",1215.75,466895.03
"57",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK4","24","Ивановская область","FZZNOE24",1258.4,464971.77
"58",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK5","24","Ивановская область","FZZNOE24",1234.1,469990.99
"59",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK6","24","Ивановская область","FZZNOE24",1241.83,457760.58
"60",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK7","24","Ивановская область","FZZNOE24",1212.58,449441.38
"61",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK8","24","Ивановская область","FZZNOE24",1218.04,466549.5
"62",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENSK9","24","Ивановская область","FZZNOE24",1264.99,461158.5
"63",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS10","24","Ивановская область","FZZNOE24",1225.96,467744.08
"64",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS11","24","Ивановская область","FZZNOE24",1229.26,467527.23
"65",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS12","24","Ивановская область","FZZNOE24",1246.82,464879.16
"66",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS13","24","Ивановская область","FZZNOE24",1275.74,472899.6
"67",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS14","24","Ивановская область","FZZNOE24",1205.66,463786.23
"68",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS15","24","Ивановская область","FZZNOE24",1195.99,467309.73
"69",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS16","24","Ивановская область","FZZNOE24",1280.88,440388.78
"70",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS17","24","Ивановская область","FZZNOE24",1214.77,443703.74
"71",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS18","24","Ивановская область","FZZNOE24",1203.96,466325.94
"72",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS19","24","Ивановская область","FZZNOE24",1284.68,463512.01
"73",2016-11-01,"ООО ""Ивановоэнергосбыт""","IVENERSK","PIVENS20","24","Ивановская область","FZZNOE24",1205.62,467502.35
"74",2016-11-01,"АО ""Каббалкэнерго""","KABBAGEN","PKABBAGE","83","Кабардино-Балкарская Республика","FZYUOE16",683.6,297662.58
"75",2016-11-01,"АО ""ЮМЭК""","UZMEZREG","PKALMEK1","85","Республика Калмыкия","FZYUKU20",1516.4,467913.14
"76",2016-11-01,"АО ""Калмэнергосбыт""","KALMENER","PKALMENE","85","Республика Калмыкия","FZYUKU20",1460.19,466714.37
"77",2016-11-01,"ОАО ""Калужская сбытовая компания""","KALUGENE","PKALUGEN","29","Калужская область","FZZNOE24",1189.86,445127.2
"78",2016-11-01,"АО ""ТНС энерго Карелия""","KARELENE","PKARELEN","86","Республика Карелия","FZSZOE27",1022.91,446769.82
"79",2016-11-01,"АО ""Карачаево-Черкесскэнерго""","KCHERKEN","PKCHERKE","91","Карачаево-Черкесская Республика","FZYUOE16",682.86,299289.33
"80",2016-11-01,"ОАО ""ЭнергосбыТ Плюс""","ORENBENE","PKIROVEN","33","Кировская область","FZURKR12",1175.59,439275.84
"81",2016-11-01,"АО ""АтомЭнергоСбыт""","ATOMSBYT","PKOLENER","47","Мурманская область","FZSZKO28",896.82,444119.22
"82",2016-11-01,"АО ""Королевская электросеть СК""","KOROLSET","PKORELS1","46","Московская область","FZZMSK26",1208.51,440160.91
"83",2016-11-01,"ПАО ""Костромская сбытовая компания""","KOSTRENE","PKOSTREN","34","Костромская область","FZZNOE24",1174.08,439310.92
"84",2016-11-01,"ПАО ""КЭС"" (г.Красногорск)","KRASNGOR","PKRAELS1","46","Московская область","FZZMSK26",1185.43,439652.5
"85",2016-11-01,"ПАО ""КЭС"" (г.Красногорск)","KRASNGOR","PKRAELS2","46","Московская область","FZZMSK26",1201.34,438193.53
"86",2016-11-01,"ПАО ""Красноярскэнергосбыт""","KRASNOEN","PKRASNEN","04","Красноярский край","FZSBOE01",920.3,470830.37
"87",2016-11-01,"ОАО ""Кубаньэнергосбыт""","KUBANESK","PKUBANEN","03","Краснодарский край","FZYUKU20",1628.55,467930.06
"88",2016-11-01,"АО ""ЭК ""Восток""","ESVOSTOK","PKURGANE","37","Курганская область","FZUROE07",1045.24,706849.08
"89",2016-11-01,"АО ""АтомЭнергоСбыт""","ATOMSBYT","PKURSKEN","38","Курская область","FZZNOE24",1081.07,439251.78
"90",2016-11-01,"ОАО ""Кузбассэнергосбыт""","KUZBSBYT","PKUZBENE","32","Кемеровская область","FZSBOE01",963.7,508906.19
"91",2016-11-01,"АО ""Петербургская сбытовая компания""","LENENERG","PLENENER","41","Ленинградская область","FZSZOE27",1066.14,494150.27
"92",2016-11-01,"ООО ""ГЭСК"" (г.Липецк)","GORODESK","PLGORSB1","42","Липецкая область","FZZNOE24",1226.8,494077.23
"93",2016-11-01,"ОАО ""ЛЭСК"" (г.Липецк)","LIPECKEN","PLIPECKE","42","Липецкая область","FZZNOE24",1183.65,494100.22
"94",2016-11-01,"ООО ""МЭК"" (г.Магнитогорск)","MAGNENKO","PMAGENKO","75","Челябинская область","FZUROE07",1147.19,457995.96
"95",2016-11-01,"ПАО ""ТНС энерго Марий Эл""","MARIENER","PMARIENE","88","Республика Марий Эл","FZURKR12",1220.23,438288.79
"96",2016-11-01,"ООО ""Металлэнергофинанс""","METALENE","PMETALEN","32","Кемеровская область","FZSBOE01",999.01,500813.59
"97",2016-11-01,"ПАО ""Мордовская энергосбытовая компания""","MORDOVEN","PMORDOVE","89","Республика Мордовия","FZVLOE13",1247.91,435746.13
"98",2016-11-01,"ПАО ""Мосэнергосбыт""","MOSENERG","PMOSENER","46","Московская область","FZZNOE24",1200.57,438052.65
"99",2016-11-01,"ООО ""ЭНЕРГОСБЫТХОЛДИНГ""","RUSENSBM","PMRUSGD1","46","Московская область","FZZMSK26",1235.99,436082.54
"100",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA1","03","Краснодарский край","FZYUKU20",1682.04,467127.79
"101",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA2","03","Краснодарский край","FZYUKU20",1602.85,465699.63
"102",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA3","03","Краснодарский край","FZYUKU20",1589.34,465850.53
"103",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA4","03","Краснодарский край","FZYUKU20",1529.22,467920.85
"104",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA5","03","Краснодарский край","FZYUKU20",1694.96,467208.94
"105",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA6","03","Краснодарский край","FZYUKU20",1626.99,468520.78
"106",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA7","03","Краснодарский край","FZYUKU20",1511.21,466353.54
"107",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA8","03","Краснодарский край","FZYUKU20",1687.63,465909.1
"108",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKRA9","03","Краснодарский край","FZYUKU20",1643.22,465626.91
"109",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR10","03","Краснодарский край","FZYUKU20",1731.79,465851.76
"110",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR11","03","Краснодарский край","FZYUKU20",1655.27,467003.97
"111",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR12","03","Краснодарский край","FZYUKU20",1668.17,467273.16
"112",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR13","03","Краснодарский край","FZYUKU20",1534.57,463620.81
"113",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR14","03","Краснодарский край","FZYUKU20",1628.52,465566.87
"114",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR15","03","Краснодарский край","FZYUKU20",1643.03,467275.68
"115",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR16","03","Краснодарский край","FZYUKU20",1639.3,469357.62
"116",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR17","03","Краснодарский край","FZYUKU20",1726.05,466609.4
"117",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR18","03","Краснодарский край","FZYUKU20",1513.56,467510.27
"118",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR19","03","Краснодарский край","FZYUKU20",1543.38,466377.75
"119",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR21","03","Краснодарский край","FZYUKU20",1749.56,467825.3
"120",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR22","03","Краснодарский край","FZYUKU20",1689.59,467828.08
"121",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR23","03","Краснодарский край","FZYUKU20",1695.37,466609.46
"122",2016-11-01,"АО ""НЭСК"" (г.Краснодар)","NESKKRSN","PNESKR25","03","Краснодарский край","FZYUKU20",1721.87,466443.31
"123",2016-11-01,"ПАО ""ТНС энерго НН""","NIGNOVEN","PNIGNOVE","22","Нижегородская область","FZZNOE24",1221.13,439183.06
"124",2016-11-01,"ООО ""НЭСК"" (г.Новомосковск)","NOVMOSSK","PNOMESK1","70","Тульская область","FZZNOE24",1238.74,487503.9
"125",2016-11-01,"ООО ""ТНС энерго Великий Новгород""","GARENERC","PNOVGORE","49","Новгородская область","FZSZOE27",1095.16,448425.63
"126",2016-11-01,"ОАО ""Новосибирскэнергосбыт""","SBRENERG","PNOVOSIB","50","Новосибирская область","FZSBOE01",973.06,521268.67
"127",2016-11-01,"ООО ""НУЭСК"" (г.Новоуральск)","NOVOYRAL","PNUESBK1","65","Свердловская область","FZUROE07",1129.78,459974.82
"128",2016-11-01,"АО ""Чеченэнерго""","CHECHENG","PNURENER","96","Чеченская Республика","FZYUOE16",655.56,299585.94
"129",2016-11-01,"ООО ""НЭСКО"" (г.Нижневартовск)","OOONESKO","PNVAREK1","71","Тюменская область","FZURTU08",966.86,446054.65
"130",2016-11-01,"АО ""Обеспечение РФЯЦ-ВНИИЭФ""","OBESPRFC","POBESPE1","22","Нижегородская область","FZZNOE24",1210.76,439437.45
"131",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON1","46","Московская область","FZZMSK26",1204.55,441503.18
"132",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON2","46","Московская область","FZZMSK26",1206.24,434383.68
"133",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON3","46","Московская область","FZZMSK26",1230.24,404123.84
"134",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON4","46","Московская область","FZZMSK26",1208.51,450409.39
"135",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON5","46","Московская область","FZZMSK26",1200.72,437919.34
"136",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON6","46","Московская область","FZZMSK26",1182.16,437755.44
"137",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON7","46","Московская область","FZZMSK26",1207.14,414620.93
"138",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON8","46","Московская область","FZZMSK26",1193.71,438412.4
"139",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORON9","46","Московская область","FZZMSK26",1213.38,439108.83
"140",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO10","46","Московская область","FZZMSK26",1177.85,439475.79
"141",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO11","46","Московская область","FZZMSK26",1169.74,436650.99
"142",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO12","46","Московская область","FZZMSK26",1169.45,441334.4
"143",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO13","46","Московская область","FZZMSK26",1209.19,442907.91
"144",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO14","53","Оренбургская область","FZUROE07",1146.99,450639.9
"145",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO15","53","Оренбургская область","FZUROE07",1150.12,337587.64
"146",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO16","53","Оренбургская область","FZUROE07",1170.41,334606.55
"147",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO17","53","Оренбургская область","FZUROE07",1285.21,197134.01
"148",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO18","53","Оренбургская область","FZUROE07",1143.99,451668.95
"149",2016-11-01,"АО ""Оборонэнергосбыт""","OBORONSB","POBORO19","46","Московская область","FZZMSK26",1192.94,449449.89
